Item # ,Product Image ,Item Lookup Code,BRAND1,Description,Ingredents ,Supplier Name,Bin Location,Wholesale Pricing ,Price,Reorder Number,Restock Level,New Order,Qty On Hand,Reorder Point,Cost,Departments,Categories,Product Title -                                                    Extended Description (ED),BRAND2,Date Created,Last Sold,Available Quantity,Quantity Committed,Last Cost
,,810078423959,RHL 1,CLOVE BUD (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4018301,0,,5,0,7,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Clove Bud (Eugenia caryophyllata) 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:51,6/24/2026 18:56,5,0,7
,,810078423966,RHL 1,ENERGY BOOST (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,15.99,4021211,0,,4,0,8,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Energy boost, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/3/2019 12:03,3/4/2025 14:17,4,0,0
,,810078423973,RHL 1,ESSENTIAL LOVE (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,19.99,4021221,0,,4,0,12,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Essential Love, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/27/2021 17:58,12/15/2023 12:33,4,0,0
,,810078423980,RHL 1,ESSENT PROTECT (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,14.99,4021741,0,,3,0,8,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Essential Protect, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/3/2019 12:18,3/4/2025 14:17,3,0,0
,,810078423997,RHL 1,EUCALYPTUS (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4018311,0,,3,0,4.6,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Eucalyptus (Eucalyptus globulus), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 0:53,12/19/2025 17:25,3,0,4.2
,,810078424000,RHL 1,EUCALYPTUS [EO] 4 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,17.99,4018314,0,,3,0,9,AROMA THERAPY,ESSENTIAL OILS,"Ray's Hea;thy Living, Eucalyptus 100% Pure Essential Oil, Net Wt. 4 fl oz.",,9/2/2019 1:30,12/30/2025 13:15,3,0,8.2
,,810078424017,RHL 1,FRANKINCENSE (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,14.99,4021141,0,,0,0,8.9,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Frankincense (Boswellia carterii), 20% in Jojoba Oil, Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:04,6/3/2026 10:08,0,0,8.5
,,810078424024,RHL 1,GRAPEFRUIT PINK (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4018321,0,,3,0,6.5,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Grapefruit Pink (Citrus paradisi), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:02,1/9/2024 15:36,3,0,6
,,810078424031,RHL 1,HEAD RELIEF (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,14.99,4021191,0,,4,0,8,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Head Relief, 100% Pure Essential Oil, Net Wt. 1 fl oz

788332211911",,2/26/2020 17:26,10/22/2025 18:56,4,0,0
,,810078424055,RHL 1,LAVENDER BULG (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,19.99,4018341,0,,5,0,10,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Lavender Bulgarian (Lavendula angustifolia), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:10,2/11/2026 10:20,5,0,13
,,810078424062,RHL 1,LAVENDER FRENCH (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,13.99,4018331,0,,5,0,6.3,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Lavender, French, Lavendula Angustifolia, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,6/14/2022 17:58,9/13/2025 15:42,5,0,0
,,810078424093,RHL 1,LEMON EUC (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/1 >*,,10.99,4022541,0,,6,0,5.25,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Lemon Eucalyptus (Eucalyptus citriodora), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:12,4/13/2024 12:41,6,0,5
,,400400926,RHL 1,PEPPERMINT RLLO ON (EO) .4 OZ,,MADINA,15/2 >*,,4.99,0926,0,,0,0,2.5,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Peppermint (Mentha piperita), Roll On,  100% Pure Essential Oil, Net Wt. .4 fl oz (118ml)",,4/11/2025 14:15,,0,0,0
,,788332222511,RHL 1,LEMON ORG  (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,14.99,4022251,0,,1,0,8.5,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Organic Lemon (Citrus limonum), 100% Pure Essential Oil, Net Wt. 1 fl oz",,6/18/2020 15:44,2/28/2026 17:08,1,0,0
,,810078424086,RHL 1,LEMON (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,13.99,4018351,0,,2,0,5.8,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Lemon (Citrus Limonum), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:12,3/31/2026 11:35,2,0,5.8
,,810078424109,RHL 1,LEMONGRASS (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,13.99,4021151,0,,1,0,5.25,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Lemongrass (Cymbopogon flexousus), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:15,5/2/2026 11:16,1,0,5
,,810078424130,RHL 1,ORANGE SWT (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,13.99,4018361,0,,4,0,4.4,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Orange Sweet (Citrus sinsensis), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,4/26/2020 17:36,7/22/2024 16:18,4,0,0
,,810078424154,RHL 1,PATCHOULI (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,19.99,4018381,0,,2,0,9.2,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Patchouli (Pogostemon cablin), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,6/9/2021 21:16,5/2/2026 11:16,2,0,0
,,810078424161,RHL 1,PEPPERMINT (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,13.99,4018391,0,,1,0,6.3,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Peppermint (Mentha piperita), 100% Pure essential Oil, Net Wt. 1 fl oz (30ml)",,9/2/2019 1:16,7/14/2026 9:52,1,0,3.6857
,,810078424178,RHL 1,PEPPERMINT (EO) 4 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,29.99,4018394,0,,0,0,18,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Peppermint (Mentha piperita), 100% Pure Essential Oil, Net Wt. 4 fl oz (118ml)",,9/2/2019 1:29,6/22/2026 18:37,0,0,14.05
,,810078424192,RHL 1,ROSE GERANIUM OIL 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,23.99,4021121,0,,1,0,12,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Rose Geranium, Pelargonium graveolens, 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,6/9/2021 21:13,4/13/2024 12:41,1,0,0
,,810078424208,RHL 1,ROSEMARY (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,13.99,4018401,0,,3,0,7,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Rosemary (Rosmarinus officialis), 100% Pure Essential Oil, Net Wt. 1 fl oz (30ml)",,9/3/2019 12:31,6/26/2026 17:12,3,0,0
,,810078424215,RHL 1,SAGE (EO) 1 OZ,,RAY'S HEALTHY LIVING -,15/2 >*,,17.99,4021171,0,,5,0,9.1,AROMA THERAPY,ESSENTIAL OILS,"Ray's Healthy Living, Sage Eastern Europe)), 100% Pure essential Oil, Net Wt. 1 fl oz (30ml)",,11/10/2024 14:28,5/2/2026 11:16,5,0,0
